Chrom	StartPos	EndPos	#Observed	#Effective
1	131	11288	100	10.842916636606887
1	11340	28019	100	10.027791033482615
1	28208	40677	100	15.222935522556746
1	40702	46415	100	21.268637982529157
1	46476	53090	100	35.66607443592072
1	53142	68447	100	17.56752338113516
1	68466	79658	100	10.176652397746107
1	79678	91476	100	15.329666903097358
1	91482	94805	100	15.973106534467938
1	94858	97977	100	22.48476725933873
1	98007	129729	100	20.303785267041935
1	129801	134458	100	20.452853248900567
1	134650	145252	100	18.3140546207674
1	146560	160736	100	20.125054881245156
1	160749	167605	100	14.537528661177255
1	167755	174663	100	13.622842700046437
1	174665	176932	100	16.500265335519153
1	176940	182119	100	20.83737999858787
1	182121	192932	100	23.389890780935758
1	192949	208606	100	14.98627987734826
1	209196	215965	100	21.511976921121796
1	216010	221838	100	14.249394844053882
1	221863	225880	100	16.395659429090603
1	225890	234369	100	18.804255507794355
1	234420	242883	100	17.61910217562998
1	242923	251859	100	21.805461927919787
1	251897	259515	100	12.236147982611321
1	259529	268980	100	13.162359030216425
1	268983	274067	100	16.590073101660273
1	274322	294060	100	24.60464436031325
1	294064	298262	100	15.605018973050505
1	298268	303986	100	14.586846622942996
1	304013	311485	100	8.249471532609112
1	311590	316110	100	11.986352871995123
1	316229	320555	100	14.31086008585978
1	320576	326031	100	14.008047693483231
1	326045	337381	100	20.714292158934505
1	337459	364261	100	8.51731637917559
1	364569	384912	100	15.363375791867583
1	385768	400281	100	19.5081327634473
1	400314	405578	100	16.51197957201095
1	405638	410160	100	10.850708718778542
1	410193	413301	100	13.257098045110624
1	413463	424116	100	12.647935660769008
1	424180	430688	100	9.573061133740524
1	430697	435020	100	14.337818512731026
1	435046	438745	100	11.930524025595766
1	438775	448058	100	9.285703937436303
1	448076	451411	100	16.585973111575186
1	451432	455830	100	15.810321686300668
1	455987	460698	100	11.944766247079698
1	460759	478917	100	19.91409587768712
1	479216	487485	100	24.912154914237874
1	487621	495994	100	18.32885780681958
1	495998	502024	100	16.525856804264123
1	502517	511592	100	17.068650235871434
1	511705	527629	100	10.396731149798697
1	527637	532673	100	19.727815327667784
1	532677	544049	100	20.862107190963073
1	544138	555630	100	23.14037978593978
1	555677	563716	100	20.735205805656364
1	563759	572955	100	12.825793148675146
1	572978	575594	100	15.497226056159118
1	575998	583117	100	19.378343913488326
1	583130	587439	100	15.367481760949396
1	587484	591932	100	12.862789836710792
1	592007	596138	100	16.563868760690188
1	596152	601840	100	13.092388645843975
1	601884	606191	100	10.853707918984966
1	606224	609269	100	15.158778381858525
1	609312	612288	100	15.957934118766094
1	612299	615244	100	21.092800293823416
1	615297	619709	100	34.20218964690163
1	619744	628386	100	18.12210115477476
1	628387	635571	100	23.688793734693938
1	635583	638938	100	10.672625260815579
1	638971	645770	100	13.591590436607767
1	645772	651412	100	11.059243127209061
1	651474	656083	100	13.624642985418234
1	656197	659070	100	13.485266289998556
1	659115	673803	100	21.420723741985487
1	673809	677194	100	24.60599980295724
1	677218	687258	100	15.43736697306808
1	687260	714414	100	21.75837859708021
1	714429	717579	100	26.145540523574304
1	717584	724901	100	13.222569286580118
1	724921	729285	100	16.043425696164782
1	729290	731661	100	20.976318694739707
1	731698	736283	100	23.949502968464152
